date,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat
2016-06-09_09-00,7,0,2,0,0,0,0,0,0
2016-06-09_10-00,19,0,3,0,0,0,0,0,0
2016-06-09_11-00,21,0,0,0,0,0,0,1,0
2016-06-09_12-00,22,0,0,0,0,1,0,0,0
2016-06-09_13-00,26,0,1,0,0,0,0,1,0
2016-06-09_14-00,19,0,0,0,0,1,0,0,0
2016-06-09_15-00,27,1,1,0,0,0,0,0,0
2016-06-09_16-00,21,0,0,0,0,1,0,0,0
2016-06-09_17-00,4,1,0,0,0,1,1,0,0
2016-06-09_18-00,22,0,0,0,0,0,0,0,0
2016-06-09_19-00,21,0,2,0,0,0,0,0,0
2016-06-09_20-00,24,0,1,0,0,0,0,0,0
2016-06-09_21-00,21,0,0,0,0,0,0,0,0
2016-06-09_22-00,19,0,0,0,0,0,0,0,0
2016-06-09_23-00,10,0,0,0,0,0,0,1,0
2016-06-10_00-00,6,0,1,0,0,0,0,0,0
2016-06-10_01-00,13,0,0,0,0,0,0,0,0
2016-06-10_02-00,5,0,0,0,0,0,0,0,0
2016-06-10_03-00,4,0,0,0,0,0,0,0,0
2016-06-10_04-00,3,0,0,0,0,0,0,0,0
2016-06-10_05-00,0,0,0,0,0,0,0,1,0
2016-06-10_06-00,5,0,2,0,0,0,0,0,0
2016-06-10_07-00,2,0,1,0,0,0,0,0,0
2016-06-10_08-00,3,0,1,0,0,0,0,1,0
2016-06-10_09-00,8,1,2,0,0,0,0,1,0
2016-06-10_10-00,11,0,4,0,0,0,0,0,0
2016-06-10_11-00,20,0,0,0,0,0,0,1,0
2016-06-10_12-00,19,0,2,0,0,0,0,0,0
2016-06-10_13-00,30,1,0,0,0,0,0,0,0
2016-06-10_14-00,19,0,0,0,0,0,0,1,0
2016-06-10_15-00,26,0,1,0,0,0,0,0,0
2016-06-10_16-00,25,0,3,0,0,0,0,1,0
2016-06-10_17-00,27,0,1,0,0,0,0,0,0
2016-06-10_18-00,29,2,2,0,0,1,0,0,0
2016-06-10_19-00,21,1,1,0,0,0,0,0,0
2016-06-10_20-00,22,1,3,0,0,0,0,0,0
2016-06-10_21-00,19,0,0,0,0,0,0,0,0
2016-06-10_22-00,16,0,0,0,0,0,0,0,0
2016-06-10_23-00,12,0,1,0,0,0,0,0,0
2016-06-11_00-00,12,0,0,0,0,0,0,0,0
2016-06-11_01-00,15,0,0,0,0,0,0,0,0
2016-06-11_02-00,15,0,1,0,0,0,0,0,0
2016-06-11_03-00,10,0,2,0,0,0,0,0,0
2016-06-11_04-00,10,0,0,0,0,0,0,0,0
2016-06-11_05-00,13,0,0,0,0,0,0,0,0
2016-06-11_06-00,5,0,0,0,0,0,0,0,0
2016-06-11_07-00,1,0,2,0,0,0,0,3,0
2016-06-11_08-00,4,0,1,0,0,0,0,0,0
2016-06-11_09-00,7,0,1,0,0,0,0,0,0
2016-06-11_10-00,8,0,1,0,0,0,0,0,0
2016-06-11_11-00,16,0,0,0,0,1,0,0,0
2016-06-11_12-00,12,0,2,0,0,0,0,0,0
2016-06-11_13-00,19,0,4,0,0,0,0,0,0
2016-06-11_14-00,43,0,2,0,0,0,0,0,0
2016-06-11_15-00,30,0,1,0,0,0,0,0,0
2016-06-11_16-00,22,0,2,0,0,0,0,0,0
2016-06-11_17-00,34,0,1,0,0,0,0,0,0
2016-06-11_18-00,20,1,2,1,0,0,0,0,0
2016-06-11_19-00,28,2,1,0,0,0,0,0,0
2016-06-11_20-00,27,0,2,0,0,0,0,0,0
2016-06-11_21-00,24,0,2,0,0,0,0,0,0
2016-06-11_22-00,12,0,1,0,0,0,0,0,0
2016-06-11_23-00,9,0,2,0,0,0,0,0,0
2016-06-12_00-00,14,0,0,0,0,0,0,0,0
2016-06-12_01-00,8,0,1,0,0,0,0,0,0
2016-06-12_02-00,13,0,1,0,0,0,0,0,0
2016-06-12_03-00,18,0,3,0,0,0,0,0,0
2016-06-12_04-00,6,0,0,0,0,0,0,1,0
2016-06-12_05-00,12,0,1,0,0,0,0,0,0
2016-06-12_06-00,0,0,1,0,0,0,1,0,0
2016-06-12_07-00,0,0,1,0,0,0,0,0,0
2016-06-12_08-00,3,1,0,0,0,1,0,0,0
2016-06-12_09-00,2,0,1,0,0,0,0,1,0
2016-06-12_10-00,16,1,2,0,0,0,0,0,0
2016-06-12_11-00,28,0,0,0,0,0,0,1,0
2016-06-12_12-00,15,0,0,0,0,0,0,0,0
2016-06-12_13-00,28,3,0,0,0,0,0,1,0
2016-06-12_14-00,27,0,3,0,0,0,0,0,0
2016-06-12_15-00,21,0,0,0,0,0,0,0,0
2016-06-12_16-00,25,0,1,0,0,1,0,0,0
2016-06-12_17-00,24,0,2,0,0,0,0,0,0
2016-06-12_18-00,29,0,1,0,0,0,0,0,0
2016-06-12_19-00,25,0,1,0,0,0,0,0,0
2016-06-12_20-00,19,1,0,0,0,0,0,0,0
2016-06-12_21-00,21,0,0,0,0,0,0,0,0
2016-06-12_22-00,9,0,1,0,0,0,0,0,0
2016-06-12_23-00,15,0,0,0,0,0,0,0,0
2016-06-13_00-00,5,0,0,0,0,0,0,0,0
2016-06-13_01-00,2,0,0,0,0,0,0,0,0
2016-06-13_02-00,3,0,0,0,0,0,0,0,0
2016-06-13_03-00,1,0,3,0,0,0,0,0,0
2016-06-13_04-00,2,0,1,0,0,1,0,0,0
2016-06-13_05-00,0,0,3,0,0,0,0,0,0
2016-06-13_06-00,0,0,0,0,0,0,0,0,0
2016-06-13_07-00,1,0,0,0,0,1,0,0,0
2016-06-13_08-00,1,0,0,0,0,0,1,0,0
2016-06-13_09-00,5,0,2,0,0,0,0,0,0
2016-06-13_10-00,14,0,0,0,0,0,0,1,0
2016-06-13_11-00,9,0,1,0,0,1,0,2,0
2016-06-13_12-00,23,0,0,0,0,0,0,0,0
2016-06-13_13-00,24,0,1,0,0,0,0,0,0
2016-06-13_14-00,17,0,1,0,0,0,0,0,0
2016-06-13_15-00,21,0,3,0,0,0,0,0,0
2016-06-13_16-00,22,0,0,0,0,0,0,0,0
2016-06-13_17-00,16,0,1,0,0,0,0,0,0
2016-06-13_18-00,16,1,1,0,0,0,0,1,0
2016-06-13_19-00,21,0,2,0,0,0,0,0,0
2016-06-13_20-00,24,0,1,0,0,0,0,0,0
2016-06-13_21-00,25,0,0,0,0,0,0,0,0
2016-06-13_22-00,4,0,0,0,0,1,0,0,0
2016-06-13_23-00,12,0,0,0,0,0,0,0,0
2016-06-14_00-00,3,0,1,0,0,0,0,0,0
2016-06-14_01-00,8,0,0,0,0,0,0,0,0
2016-06-14_02-00,1,0,0,0,0,0,0,0,0
2016-06-14_03-00,2,0,0,0,0,0,0,0,0
2016-06-14_04-00,1,0,0,0,0,0,0,0,0
2016-06-14_05-00,0,0,0,0,0,1,0,0,0
2016-06-14_06-00,0,0,0,0,0,0,0,0,0
2016-06-14_07-00,3,0,1,0,0,0,0,0,0
2016-06-14_08-00,3,0,0,0,0,0,1,0,0
2016-06-14_09-00,4,0,2,0,0,1,0,0,0
2016-06-14_10-00,11,0,1,0,0,0,1,0,0
2016-06-14_11-00,19,1,0,0,0,0,0,1,0
2016-06-14_12-00,19,0,0,0,0,1,0,1,0
2016-06-14_13-00,22,1,1,0,0,1,0,1,0
2016-06-14_14-00,21,0,0,0,0,0,0,1,0
2016-06-14_15-00,16,0,0,0,0,0,0,1,0
2016-06-14_16-00,19,1,1,0,0,0,0,1,0
2016-06-14_17-00,25,0,1,0,0,0,0,1,0
2016-06-14_18-00,28,0,1,0,0,0,0,0,0
2016-06-14_19-00,19,1,0,0,0,1,0,0,0
2016-06-14_20-00,16,1,0,0,0,0,0,0,0
2016-06-14_21-00,18,0,0,0,0,0,0,0,0
2016-06-14_22-00,17,0,0,0,0,0,0,0,0
2016-06-14_23-00,12,0,0,0,0,0,0,0,0
2016-06-15_00-00,4,0,2,0,0,0,0,0,0
2016-06-15_01-00,11,0,0,0,0,0,0,0,0
2016-06-15_02-00,2,0,0,0,0,0,0,0,0
2016-06-15_03-00,6,0,0,0,0,0,0,0,0
2016-06-15_04-00,4,0,1,0,0,0,0,0,0
2016-06-15_05-00,3,0,1,0,0,0,0,0,0
2016-06-15_06-00,1,0,1,0,0,0,0,0,0
2016-06-15_07-00,3,0,1,0,0,0,0,0,0
2016-06-15_08-00,5,0,2,0,0,0,0,0,0
2016-06-15_09-00,6,0,0,0,0,0,0,0,0
2016-06-15_10-00,13,0,4,0,0,1,0,0,0
2016-06-15_11-00,15,0,2,0,0,0,0,0,0
2016-06-15_12-00,6,0,1,0,0,1,0,1,0
2016-06-15_13-00,24,0,0,0,0,0,0,1,0
2016-06-15_14-00,17,0,1,0,0,1,0,0,0
2016-06-15_15-00,21,0,3,0,0,0,0,1,0
2016-06-15_16-00,21,1,0,0,0,0,0,0,0
2016-06-15_17-00,22,0,1,0,0,0,0,0,0
2016-06-15_18-00,27,0,1,0,0,0,0,0,0
2016-06-15_19-00,12,0,2,0,0,0,0,0,0
2016-06-15_20-00,22,1,0,0,0,0,0,1,0
2016-06-15_21-00,12,1,0,0,0,1,0,0,0
2016-06-15_22-00,2,0,0,0,0,0,0,0,0
2016-06-15_23-00,7,0,0,0,0,0,0,0,0
2016-06-16_00-00,7,0,1,0,0,0,0,0,0
2016-06-16_01-00,7,0,0,0,0,0,0,0,0
2016-06-16_02-00,8,0,0,0,0,0,0,0,0
2016-06-16_03-00,0,0,0,0,0,0,0,0,0
2016-06-16_04-00,3,0,0,0,0,0,0,0,0
2016-06-16_05-00,2,0,0,0,0,0,0,0,0
2016-06-16_06-00,0,0,0,0,0,0,0,0,0
2016-06-16_07-00,2,0,0,0,0,0,0,1,0
2016-06-16_08-00,2,1,0,0,0,0,0,0,0
2016-06-16_09-00,4,0,1,0,0,0,0,0,0
2016-06-16_10-00,5,0,4,0,0,0,0,1,0
2016-06-16_11-00,7,0,0,0,0,0,0,0,0
2016-06-16_12-00,15,0,2,0,0,0,0,0,0
2016-06-16_13-00,27,1,0,0,0,0,0,0,0
2016-06-16_14-00,28,0,1,0,0,0,0,0,0
2016-06-16_15-00,20,0,0,0,0,0,0,0,0
2016-06-16_16-00,27,0,2,0,0,0,0,0,0
2016-06-16_17-00,25,0,1,0,0,1,0,0,0
2016-06-16_18-00,18,0,0,0,0,0,0,2,0
2016-06-16_19-00,24,0,2,0,0,0,0,0,0
2016-06-16_20-00,6,0,0,0,0,0,0,0,0
2016-06-16_21-00,10,0,0,0,0,1,0,0,0
2016-06-16_22-00,13,0,0,0,0,0,0,0,0
2016-06-16_23-00,20,0,0,0,0,0,0,0,0
2016-06-17_00-00,8,0,1,0,0,0,0,0,0
2016-06-17_01-00,16,0,0,0,0,0,0,0,0
2016-06-17_02-00,15,0,1,0,0,0,0,0,0
2016-06-17_03-00,11,0,0,0,0,0,0,0,0
2016-06-17_04-00,3,0,1,0,0,0,0,0,0
2016-06-17_05-00,1,0,0,0,0,1,0,0,0
2016-06-17_06-00,0,0,0,0,0,0,0,1,0
2016-06-17_07-00,4,1,2,0,0,0,0,1,0
2016-06-17_08-00,4,0,1,0,0,0,0,1,0
2016-06-17_09-00,8,0,3,0,0,0,0,0,0
2016-06-17_10-00,5,0,2,0,0,0,0,1,0
2016-06-17_11-00,9,0,0,0,0,0,1,1,0
2016-06-17_12-00,17,1,2,0,0,0,0,0,0
2016-06-17_13-00,21,0,0,0,0,0,0,0,0
2016-06-17_14-00,1,0,0,0,0,1,0,0,0
2016-06-17_15-00,21,0,0,0,0,0,0,0,0
2016-06-17_16-00,21,0,2,0,0,0,0,0,0
2016-06-17_17-00,21,0,0,0,0,0,0,0,0
2016-06-17_18-00,20,0,2,0,0,0,0,0,0
2016-06-17_19-00,17,0,3,0,0,0,0,0,0
2016-06-17_20-00,25,0,1,0,0,0,0,0,0
